State name,District name,Population
JAMMU AND KASHMIR,Kupwara,870354
JAMMU AND KASHMIR,Badgam,753745
JAMMU AND KASHMIR,Leh(Ladakh),133487
JAMMU AND KASHMIR,Kargil,140802
JAMMU AND KASHMIR,Punch,476835
JAMMU AND KASHMIR,Rajouri,642415
JAMMU AND KASHMIR,Kathua,616435
JAMMU AND KASHMIR,Baramula,1008039
JAMMU AND KASHMIR,Bandipore,392232
JAMMU AND KASHMIR,Srinagar,1236829
JAMMU AND KASHMIR,Ganderbal,297446
JAMMU AND KASHMIR,Pulwama,560440
JAMMU AND KASHMIR,Shupiyan,266215
JAMMU AND KASHMIR,Anantnag,1078692
JAMMU AND KASHMIR,Kulgam,424483
JAMMU AND KASHMIR,Doda,409936
JAMMU AND KASHMIR,Ramban,283713
JAMMU AND KASHMIR,Kishtwar,230696
JAMMU AND KASHMIR,Udhampur,554985
JAMMU AND KASHMIR,Reasi,314667
JAMMU AND KASHMIR,Jammu,1529958
JAMMU AND KASHMIR,Samba,318898
HIMACHAL PRADESH,Chamba,519080
HIMACHAL PRADESH,Kangra,1510075
HIMACHAL PRADESH,Lahul AND Spiti,31564
HIMACHAL PRADESH,Kullu,437903
HIMACHAL PRADESH,Mandi,999777
HIMACHAL PRADESH,Hamirpur,454768
HIMACHAL PRADESH,Una,521173
HIMACHAL PRADESH,Bilaspur,381956
HIMACHAL PRADESH,Solan,580320
HIMACHAL PRADESH,Sirmaur,529855
HIMACHAL PRADESH,Shimla,814010
HIMACHAL PRADESH,Kinnaur,84121
PUNJAB,Gurdaspur,2298323
PUNJAB,Kapurthala,815168
PUNJAB,Jalandhar,2193590
PUNJAB,Hoshiarpur,1586625
PUNJAB,Shahid Bhagat Singh Nagar,612310
PUNJAB,Fatehgarh Sahib,600163
PUNJAB,Ludhiana,3498739
PUNJAB,Moga,995746
PUNJAB,Firozpur,2029074
PUNJAB,Muktsar,901896
PUNJAB,Faridkot,617508
PUNJAB,Bathinda,1388525
PUNJAB,Mansa,769751
PUNJAB,Patiala,1895686
PUNJAB,Amritsar,2490656
PUNJAB,Tarn Taran,1119627
